iter	Passed	Remaining
0	58	57972
1	58	29142
2	58	19538
3	59	14736
4	59	11845
5	59	9918
6	60	8561
7	60	7541
8	61	6735
9	61	6097
10	61	5569
11	62	5132
12	62	4760
13	63	4440
14	63	4163
15	63	3919
16	64	3702
17	64	3512
18	64	3339
19	64	3184
20	65	3044
21	65	2916
22	65	2800
23	66	2693
24	66	2596
25	66	2505
26	67	2421
27	67	2343
28	67	2272
29	68	2204
30	68	2141
31	68	2081
32	69	2025
33	69	1975
34	69	1925
35	70	1886
36	70	1843
37	71	1805
38	71	1766
39	71	1727
40	72	1690
41	72	1655
42	72	1622
43	73	1589
44	73	1558
45	73	1529
46	74	1501
47	74	1474
48	74	1448
49	74	1424
50	75	1399
51	75	1376
52	75	1356
53	76	1336
54	76	1316
55	76	1297
56	77	1278
57	77	1261
58	78	1244
59	78	1227
60	78	1211
61	79	1195
62	79	1180
63	79	1165
64	79	1150
65	80	1135
66	80	1121
67	80	1107
68	81	1094
69	81	1081
70	81	1069
71	82	1058
72	82	1046
73	82	1037
74	83	1027
75	83	1017
76	83	1006
77	84	996
78	84	986
79	85	980
80	85	970
81	85	961
82	85	949
83	86	940
84	86	931
85	86	923
86	87	914
87	87	906
88	87	897
89	88	890
90	89	890
91	89	882
92	89	874
93	89	867
94	90	860
95	90	853
96	90	845
97	91	839
98	91	832
99	91	825
100	92	818
101	92	812
102	92	806
103	92	800
104	93	793
105	93	787
106	93	784
107	94	778
108	94	772
109	94	767
110	95	762
111	95	756
112	95	751
113	96	746
114	96	741
115	96	736
116	96	731
117	97	726
118	97	721
119	97	716
120	98	711
121	98	706
122	98	702
123	98	697
124	99	693
125	99	689
126	99	684
127	99	680
128	100	675
129	100	671
130	100	667
131	100	663
132	101	660
133	101	657
134	102	653
135	102	650
136	102	646
137	102	643
138	103	639
139	103	636
140	103	632
141	104	629
142	104	627
143	105	624
144	105	621
145	105	617
146	105	614
147	106	611
148	106	607
149	106	604
150	107	602
151	107	599
152	107	596
153	107	593
154	108	590
155	108	587
156	108	584
157	109	581
158	109	578
159	109	576
160	109	572
161	110	569
162	110	566
163	110	564
164	110	561
